release_month,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
May,1,Nihon Falcom,XSEED Games,0,46,1811,91,826,1234,200000-500000,12.99
Aug,0,Flat Software,Nyu Media,0,0,204,215,97,108,50000-100000,1.99
Aug,1,Tennen-sozai,Nyu Media,0,0,193,29,147,171,50000-100000,4.79
Aug,1,Tennen-sozai,Nyu Media,0,0,489,41,127,141,50000-100000,4.79
Mar,1,Tribute Games Inc.,Tribute Games Inc.,0,20,538,224,504,504,200000-500000,1.99
Apr,1,David Williamson,David Williamson,0,17,337,332,133,139,100000-200000,4.99
Mar,1,UBIart Montpellier;Feral Interactive (Mac),Ubisoft;Feral Interactive (Mac),0,0,1509,114,266,497,200000-500000,8.59
Apr,1,Joakim Sandberg,Joakim Sandberg,0,0,469,28,219,219,50000-100000,3.99
Aug,1,increpare games,increpare games,0,0,278,61,3,3,200000-500000,3.99
Aug,1,Misfits Attic,Misfits Attic,0,47,379,305,92,97,200000-500000,6.99
May,1,Amanita Design,Amanita Design,0,53,3524,136,16,20,200000-500000,7.99
Aug,1,Empty Clip Studios,Empty Clip Studios,0,31,1159,209,321,321,200000-500000,6.19
Apr,1,Southend,Deep Silver,0,35,645,287,220,263,500000-1000000,7.99
Jul,1,AMPLITUDE Studios,SEGA,0,93,5708,1417,1102,352,1000000-2000000,0
Oct,1,id Software,Bethesda Softworks,18,65,3957,772,644,985,500000-1000000,14.99
Sep,1,BlueGiant Interactive,BlueGiant Interactive,0,61,10,36,30,30,0-20000,11.99
Sep,1,Codemasters Birmingham,Codemasters,0,49,1447,176,1623,2887,200000-500000,14.99
Jan,1,Haemimont Games,Kalypso Media Digital,0,60,1029,632,209,281,200000-500000,10.99
Aug,1,"Obsidian Entertainment;Aspyr (Mac, Linux, & Windows Update)","LucasArts;Disney Interactive;Lucasfilm;Aspyr (Mac, Linux)",0,57,8047,978,990,774,2000000-5000000,7.19
Apr,1,Shovsoft,Shovsoft,0,51,465,95,411,476,50000-100000,10.99
Jun,1,Rocksteady Studios,Warner Bros. Interactive Entertainment,18,113,33121,12981,1266,1296,1000000-2000000,15.99
Apr,1,Gaijin Entertainment Corporation,Gaijin Entertainment Corporation,16,35,1363,333,105,105,200000-500000,6.99
Jun,1,Cyanide Studios,Focus Home Interactive,0,50,1407,587,1042,1421,200000-500000,10.99
Feb,1,Alientrap,Alientrap,0,30,2239,240,716,716,200000-500000,10.99
Oct,1,WB Games Montreal;Splash Damage,Warner Bros. Interactive Entertainment,16,60,20365,3519,538,443,2000000-5000000,0
Feb,1,"Dejobaan Games, LLC","Dejobaan Games, LLC",0,11,524,99,167,167,50000-100000,10.99
Oct,1,Muse Games,Muse Games,0,849,12932,1276,275,295,2000000-5000000,3.99
May,1,Slant Six Games,Capcom Co. Ltd,0,0,1171,1079,237,237,100000-200000,22.99
May,1,"Capcom U.S.A., Inc.","Capcom U.S.A., Inc.",0,0,858,697,136,196,100000-200000,22.99
Mar,1,Infinity Ward,Activision,16,40,14892,10757,266,307,1000000-2000000,39.99
Nov,1,Curve Studios,Curve Digital,0,27,783,93,373,465,200000-500000,6.99
Apr,1,"Arcen Games, LLC","Arcen Games, LLC",0,98,272,186,84,84,200000-500000,0
Apr,1,Love Conquers All Games,Love Conquers All Games,0,14,1881,128,167,167,100000-200000,7.19
Jul,1,Cyanide Studio,Bigben Interactive,0,32,15,52,487,487,20000-50000,9.99
May,1,The Binary Mill,The Binary Mill,0,20,411,224,121,121,50000-100000,3.99
Jan,1,Born Ready Games Ltd.,Born Ready Games,0,27,1211,339,57,77,200000-500000,14.99
Nov,1,Sledgehammer Games;Raven Software,Activision,18,45,13389,8379,250,267,500000-1000000,39.99
Sep,1,Data Realms,"Data Realms, LLC",0,11,3119,1454,199,229,1000000-2000000,14.99
May,1,Subatomic Studios LLC,Subatomic Studios LLC,0,93,124,79,130,130,100000-200000,3.99
Oct,1,Wizarbox,Focus Home Interactive,0,12,288,312,24,24,200000-500000,11.99
Jun,1,Cipher Prime Studios,Cipher Prime Studios,0,16,470,61,21,23,100000-200000,6.99
Apr,1,Jasper Byrne,Superflat Games,16,0,1019,153,93,128,500000-1000000,11.39
Dec,1,Spry Fox LLC,Spry Fox LLC,0,10,559,50,170,170,50000-100000,6.99
Sep,1,Spaces of Play,Spaces of Play,0,14,152,61,135,210,200000-500000,2.89
May,1,Coffee Stain Studios,Coffee Stain Publishing,0,50,11629,1273,293,203,2000000-5000000,11.39
Aug,1,Pwnee Studios,Ubisoft,7,16,174,17,33,33,20000-50000,8.59
Jun,1,Human Head Studios,Human Head Studios,0,29,541,50,316,592,100000-200000,6.99
Jan,1,"Thekla, Inc.","Thekla, Inc.",0,2,6572,1282,630,674,500000-1000000,29.99
May,1,Sigma Team Inc.,Sigma Team Inc.,0,0,200,46,47,47,50000-100000,7.19
Oct,1,"Creative Assembly, PC Port - Hardlight",SEGA,18,50,856,1013,43,24,1000000-2000000,9.99
Aug,1,Talawa Games,Teotl Studios,0,17,371,28,58,96,50000-100000,6.99
Aug,1,Spooky Squid Games Inc.,Spooky Squid Games Inc.,0,150,1965,327,300,390,200000-500000,6.99
May,1,Kyle Pulver,Kyle Pulver,0,10,449,90,134,180,200000-500000,4.99
Oct,1,"Tequila Works, S.L.",Microsoft Studios,18,31,8981,2298,307,415,500000-1000000,9.99
Jun,1,Smudged Cat Games Ltd,Smudged Cat Games Ltd,0,13,955,149,69,83,200000-500000,3.99
Feb,1,Sector3 Studios,Sector3 Studios;RaceRoom Entertainment AG,0,0,5204,3571,81,42,2000000-5000000,0
Jul,1,Yeti Trunk,Chucklefish,0,30,249,229,152,283,100000-200000,3.99
May,1,Looking Glass Studios,Square Enix,0,0,1649,148,230,325,500000-1000000,4.99
May,1,Looking Glass Studios,Square Enix,0,0,845,51,1584,1584,200000-500000,4.99
May,1,Black Market Games,Black Market Games,7,11,91,28,239,239,20000-50000,3.99
Jul,1,Chucklefish,Chucklefish,0,51,74162,7816,3556,2055,2000000-5000000,11.99
Dec,1,Slightly Mad Studios,Evolved Games,3,0,144,108,1350,1350,0-20000,14.99
Aug,1,Fishlabs Entertainment GmbH,bitComposer Games,0,92,1046,382,361,361,200000-500000,5.59
Jul,1,Qooc Software,Qooc Software,0,12,803,211,98,99,100000-200000,6.99
Jul,1,XII Games,Wadjet Eye Games,0,38,353,30,219,219,50000-100000,6.99
Feb,1,Star Gem Inc.,Gaijin Entertainment,0,213,8647,2796,4623,113,2000000-5000000,0
Nov,1,Turtle Cream,Turtle Cream,0,20,145,48,268,268,20000-50000,4.99
Jun,1,devCAT,NEXON Korea Corp. & NEXON America Inc.,0,0,3646,1460,408,249,1000000-2000000,0
Sep,1,Cloud 9 Studio,Webzen,0,0,892,334,48,48,500000-1000000,0
Jun,1,"Standing Stone Games, LLC","Standing Stone Games, LLC",0,0,6860,1644,892,300,2000000-5000000,0
Jun,1,Ubisoft Paris;Red Storm Entertainment,Ubisoft,0,0,2178,1153,229,325,200000-500000,12.49
Sep,1,Subset Games,Subset Games,0,0,42641,1629,1111,633,2000000-5000000,6.99
Dec,1,Crankshaft Games,Crankshaft Games,0,33,98,89,290,357,50000-100000,4.79
Aug,1,Vlambeer,Vlambeer,0,0,5951,702,34,39,1000000-2000000,0
Jun,1,TT Games,Warner Bros. Interactive Entertainment,0,0,969,129,988,1031,200000-500000,14.99
Nov,1,SEGA,SEGA,0,15,4676,913,805,1188,500000-1000000,5.99
Oct,1,Power of 2,Tripwire Interactive,0,29,1327,225,30,49,500000-1000000,0
Mar,1,Obsidian Entertainment,Ubisoft,0,50,35896,911,1045,628,2000000-5000000,25.99
Jun,1,Stainless Games,Wizards of the Coast LLC,0,38,3615,773,1149,1600,500000-1000000,6.99
Aug,1,Stardock Entertainment,Stardock Entertainment,0,0,93,91,22,32,200000-500000,6.99
Jul,1,Larian Studios,Larian Studios,0,0,1432,193,39,59,500000-1000000,4.79
Sep,1,Ubisoft  Shanghaï,Ubisoft,18,0,1361,701,408,408,200000-500000,12.49
Aug,1,Daedalic Entertainment,Daedalic Entertainment,0,19,7208,840,217,193,500000-1000000,6.99
Aug,1,SuperVillain Studios,SuperVillain Studios,0,35,1176,433,239,248,200000-500000,5.59
Jan,1,Doctor Entertainment AB,Doctor Entertainment AB,0,27,6383,2225,139,39,2000000-5000000,0
Oct,1,Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),18,50,24534,1958,563,720,1000000-2000000,29.99
Mar,1,Klei Entertainment,Klei Entertainment,0,14,471,122,128,155,200000-500000,4.99
Sep,1,Edelweiss,Nyu Media,0,20,188,55,71,71,50000-100000,5.59
Oct,1,Edelweiss,Nyu Media,0,50,882,139,159,226,100000-200000,5.59
Nov,1,773,Nyu Media,0,0,457,79,222,222,50000-100000,5.59
Aug,1,DrinkBox Studios,DrinkBox Studios,0,60,4881,338,245,317,500000-1000000,9.99
Aug,1,Edmund McMillen;Tyler Glaiel,Edmund McMillen,0,53,812,153,315,479,200000-500000,2.99
Sep,1,Opus,Marvelous,0,35,1147,172,254,462,200000-500000,6.99
Oct,1,The Farm 51,THQ Nordic,0,107,2240,679,189,174,500000-1000000,17.99
Sep,1,CREATIVE ASSEMBLY,SEGA,0,188,31864,13423,5760,1287,2000000-5000000,29.99
Sep,1,Aleksey Abramenko,Aleksey Abramenko,0,14,983,194,85,143,200000-500000,6.49
Sep,1,Ankama Studio,Ankama Games,0,146,4413,1335,2258,1086,1000000-2000000,0
Jul,1,KING Art,THQ Nordic,0,0,1386,134,62,62,200000-500000,17.99
Jul,1,Funcom,Funcom,0,0,4420,2106,645,408,1000000-2000000,0
Oct,1,Lukewarm Media,Reverb Triple XP;Circle 5,0,69,4447,1323,423,470,200000-500000,5.59
Oct,1,Ratloop Asia,Reverb Publishing,0,29,2175,571,92,151,200000-500000,3.99
May,1,NeocoreGames,NeocoreGames,0,95,4993,1064,572,720,500000-1000000,10.99
Oct,1,stealth.gg,stealth.gg,0,0,155,168,5,5,50000-100000,6.99
Oct,1,Noumena Studios,Kalypso Media Digital,0,49,492,235,654,654,100000-200000,6.99
Aug,1,Benjamin Rivers Inc.,Benjamin Rivers Inc.,0,12,1069,518,21,21,200000-500000,1.99
Apr,1,ACE Team,SEGA,0,19,764,256,156,190,200000-500000,10.99
Sep,1,Okugi Studio,Okugi Sudio,0,30,50,42,58,58,20000-50000,3.99
Sep,1,ASK Homework,Topware Interactive ACE,0,0,164,379,273,284,200000-500000,4.99
Feb,1,Naddic Games,En Masse Entertainment,0,0,2061,734,194,283,500000-1000000,0
Mar,1,Cyanide Studio,Bigben Interactive,0,20,154,231,1,1,200000-500000,0
Nov,1,I-deal Games,Topware Interactive,0,0,454,180,526,420,200000-500000,4.99
Mar,1,Fire Hose Games,Fire hose Games,0,26,336,20,458,458,20000-50000,6.99
Aug,1,Kukouri,Iceberg Interactive,0,25,719,183,35,35,100000-200000,3.99
Aug,1,Nexon,Nexon America Inc.,0,0,3629,1711,71,106,1000000-2000000,0
Sep,1,Smudged Cat Games Ltd,Smudged Cat Games Ltd,0,18,171,12,9,9,50000-100000,3.99
Oct,1,Cyanide Studios,Focus Home Interactive,0,22,1108,277,342,342,200000-500000,11.99
Oct,1,Cyanide Studio - Spiders Studios,Focus Home Interactive,0,45,856,333,143,74,200000-500000,10.99
Jul,1,Slipgate Ironworks™,Apogee Software,18,80,1436,673,280,343,200000-500000,10.99
Mar,1,Team17 Digital Ltd,Team17 Digital Ltd,0,0,3517,231,246,470,500000-1000000,10.99
Apr,1,Dreampainters,Kalypso Media Digital,0,35,878,489,269,269,200000-500000,7.99
Feb,1,Funcom,Funcom,0,0,874,397,148,135,500000-1000000,0
Sep,1,CI Games,CI Games,0,49,1657,722,317,355,200000-500000,14.99
Feb,1,Gaijin Games,Gaijin Games,0,26,2615,221,57,90,500000-1000000,10.99
Oct,1,2x2 Games,2x2 Games,0,0,504,116,8368,8368,100000-200000,14.99
Nov,1,Daybreak Game Company,Daybreak Game Company,0,0,35968,7753,1051,150,5000000-10000000,0
Oct,1,"Level Up Labs, LLC",Level Up Labs,0,30,2688,102,899,1365,200000-500000,10.99
Sep,1,Targem Games,Topware Interactive,0,21,492,191,299,303,500000-1000000,6.99
Aug,1,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,18,1130,308657,56523,3975,890,10000000-20000000,7.49
Oct,1,Shiver Games,Shiver Games,18,58,5775,1400,172,190,500000-1000000,6.99
Feb,1,5th Cell Media,Warner Bros. Interactive Entertainment,0,25,6661,588,630,390,1000000-2000000,14.99
Oct,1,Might and Delight,Might and Delight,0,12,2021,370,61,65,500000-1000000,6.99
Mar,1,Tribute Games Inc.,Tribute Games Inc.,16,26,1511,637,348,403,200000-500000,14.99
Oct,1,Dennaton Games,Devolver Digital,18,35,45809,1211,380,237,2000000-5000000,6.99
Mar,1,Puppygames,Puppygames,0,67,545,60,84,84,50000-100000,7.19
Jan,1,Puppygames,Puppygames,0,35,275,55,8,8,50000-100000,7.19
Feb,1,Stoic,Versus Evil,0,42,569,202,95245,190489,200000-500000,0
Oct,1,Torn Banner Studios,Torn Banner Studios,0,49,51499,10939,675,293,5000000-10000000,18.99
Jan,1,Ed Key and David Kanaga,Twisted Tree,0,0,1847,659,36,48,200000-500000,6.99
Feb,1,Cyanide Studio,Bigben Interactive,0,10,447,250,29,29,200000-500000,0
Oct,1,Larian Studios,Larian Studios,0,0,150,131,13,13,500000-1000000,4.79
Oct,1,Larian Studios,Larian Studios;Focus Home Interactive,0,0,2001,441,2511,70,500000-1000000,14.99
Nov,1,Transhuman Design,Transhuman Design,0,64,3127,643,384,378,200000-500000,0
Jan,1,Alexander Bruce,Demruth,0,0,12232,612,176,181,1000000-2000000,14.99
Oct,1,Daedalic Entertainment,Daedalic Entertainment,0,29,1674,162,170,268,200000-500000,15.99
Dec,1,SEGA,SEGA,0,13,553,79,9,16,200000-500000,5.59
Feb,1,Crate Entertainment,Crate Entertainment,0,178,26805,2605,3651,1539,1000000-2000000,19.99
Jan,1,SkyGoblin,SkyGoblin,0,0,902,129,303,327,200000-500000,5.99
Mar,1,Redlynx Ltd;Ubisoft  Shanghaï,Ubisoft,0,0,1382,423,501,508,200000-500000,16.99
Apr,1,Squad,Private Division,0,0,49328,5168,9223,351,2000000-5000000,29.99
Nov,1,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,0,0,46331,5622,836,794,2000000-5000000,16.99
Oct,1,Giants Software,Giants Software,0,16,3962,381,705,1357,500000-1000000,11.39
Jan,1,Ninja Theory,Capcom,16,58,14820,956,533,558,1000000-2000000,23.99
Nov,1,Serious Brew,Missing Link Games,0,19,641,140,663,694,100000-200000,2.09
Dec,1,KADOKAWA,Degica,0,0,3372,210,405,465,500000-1000000,52.99
Nov,1,Daedalic Entertainment,Daedalic Entertainment,0,34,1433,121,227,418,200000-500000,15.99
Nov,1,Bithell Games,Bithell Games,0,35,7456,438,72,81,500000-1000000,5.99
Oct,1,Exor Studios,Exor Studios,0,103,2050,381,338,233,200000-500000,6.99
Sep,1,Sos Sosowski,Sos Sosowski,0,0,3000,581,136,166,200000-500000,2.99
Apr,1,Owlchemy Labs,Owlchemy Labs,0,27,218,125,140,140,100000-200000,3.99
Nov,1,"Xavi Canal, Ben Palgi",SMP,0,0,632,1878,2365,4713,100000-200000,9.99
Mar,1,Capcom,Capcom,18,70,14643,3904,1602,1245,1000000-2000000,19.99
Dec,1,Bohemia Interactive,Bohemia Interactive,18,0,118435,77169,7235,2798,2000000-5000000,33.99
Nov,1,Tomorrow Corporation,Tomorrow Corporation,0,0,6403,459,177,246,500000-1000000,6.99
Apr,1,Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires,Microsoft Studios,0,294,54090,3178,1569,619,5000000-10000000,14.99
Sep,1,Hidden Path Entertainment,505 Games,0,65,1579,354,3601,3601,100000-200000,10.99
Nov,1,Terry Cavanagh,Terry Cavanagh,0,6,19797,616,140,130,1000000-2000000,1.99
Oct,1,Ubisoft - San Francisco,Ubisoft,0,47,8228,789,6704,7089,500000-1000000,25.99
Jan,1,Double Fine Productions,Double Fine Productions,0,27,1702,266,217,217,200000-500000,9.99
Oct,1,Galactic Cafe,Galactic Cafe,0,10,31538,2846,170,132,2000000-5000000,9.99
Nov,1,Neko Entertainment,Neko Entertainment,0,23,322,119,186,247,100000-200000,5.59
May,1,Capcom,Capcom,16,50,4962,975,683,764,500000-1000000,23.99
Feb,1,NGD Studios,NGD Studios,0,0,514,322,43,43,200000-500000,0
Sep,1,Cyanide Studio,Bigben Interactive,0,29,478,145,144,286,50000-100000,12.39
May,1,Abbey Games,Abbey Games,0,123,3569,917,1293,195,500000-1000000,6.99
May,1,Eugen Systems,Eugen Systems,0,0,3279,415,1069,1254,500000-1000000,14.99
Jan,1,New World Interactive,New World Interactive,0,100,92355,9570,712,245,2000000-5000000,6.99
Sep,1,SNK CORPORATION,SNK CORPORATION,0,46,4300,537,451,451,500000-1000000,14.99
Dec,1,CSR-Studios,CSR-Studios,0,30,2005,309,117,85,200000-500000,1.99
May,1,Dambuster Studios,Deep Silver,18,74,6396,5102,408,484,500000-1000000,24.99
Oct,1,Black Forest Games,HandyGames;Black Forest Games,0,25,1229,326,177,217,500000-1000000,10.99
Oct,1,Avatar Creations,Gamestorm Ltd,0,34,455,194,269,269,20000-50000,3.99
Nov,1,Running With Scissors,Running With Scissors,18,89,36263,1872,257,172,1000000-2000000,6.99
Nov,1,IonFx,IonFX Studios,0,27,739,218,171,171,100000-200000,11.99
Apr,1,Team Psykskallar,Team Psykskallar,0,0,20990,3497,3830,74,2000000-5000000,0
Nov,1,Ankama Games,Ankama Games,0,19,378,60,76,99,100000-200000,7.49
Aug,1,Eagle Dynamics SA,The Fighter Collection,0,0,5083,1534,2343,3454,2000000-5000000,0
Feb,1,Nihon Falcom,XSEED Games,0,17,1083,135,124,124,100000-200000,9.99
Jun,1,Goldhawk Interactive,Goldhawk Interactive,0,0,2497,337,880,880,200000-500000,18.99
Oct,1,No More Room in Hell Team,Lever Games,0,107,48190,5747,2661,180,5000000-10000000,0
Dec,1,Crystal Dynamics,Square Enix,16,0,429,61,522,81,200000-500000,4.99
Nov,1,Compulsion Games,Focus Home Interactive,0,22,4028,415,91,91,200000-500000,8.49
Jan,1,Young Horses,Young Horses,0,32,6742,536,174,250,500000-1000000,11.99
Feb,1,Robotronic Games,Robotronic Games,0,0,2509,698,261,261,200000-500000,10.99
Jun,1,Trion Worlds,Trion Worlds,18,0,9150,2808,953,324,2000000-5000000,0
Oct,1,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",0,46,348,426,470,470,20000-50000,22.99
May,1,Polytron Corporation,Trapdoor,0,12,10641,928,144,198,1000000-2000000,6.99
Feb,1,Megadev,Adult Swim Games,0,46,1306,56,564,943,100000-200000,4.99
Oct,1,Bohemia Interactive,Bohemia Interactive,0,0,239,514,76,76,200000-500000,5.99
Dec,1,Reality Pump,Topware Interactive,0,30,385,274,414,420,200000-500000,14.99
Dec,1,Crystal Dynamics,Square Enix,16,0,798,302,77,128,200000-500000,4.99
Dec,1,Crystal Dynamics,Square Enix,16,0,288,107,50,93,200000-500000,4.99
Nov,1,Core Design,Square Enix,12,0,1700,374,25,29,500000-1000000,4.99
Nov,1,Core Design,Square Enix,12,0,422,64,20,20,500000-1000000,4.99
Nov,1,Core Design,Square Enix,12,0,232,77,10,10,500000-1000000,4.99
Nov,1,Core Design,Square Enix,12,0,349,262,1995,1995,500000-1000000,4.99
Sep,1,Starbreeze Studios AB,505 Games,0,12,31689,1708,128,155,1000000-2000000,10.99
Jul,1,General Arcade,Devolver Digital,0,20,1789,151,124,152,200000-500000,6.99
Feb,1,Double Fine Productions,Double Fine Productions,0,59,12816,905,461,308,2000000-5000000,10.99
May,1,Over the Top Games,Over The Top Games,0,25,971,167,319,390,200000-500000,10.99
Nov,1,Core Design,Square Enix,12,0,805,115,3,3,500000-1000000,4.99
Nov,1,Core Design,Square Enix,12,0,468,97,34,34,500000-1000000,4.99
Jul,1,Realmforge Studios,Kalypso Media Digital,0,31,476,500,75,75,100000-200000,6.99
Apr,1,Colossal Order Ltd.,Paradox Interactive,0,51,1130,873,157,207,500000-1000000,14.99
Nov,1,Avalanche Studios,Square Enix,18,66,37747,14024,2086,438,2000000-5000000,11.99
May,1,Puny Human,Puny Human,0,26,3129,1537,413,370,200000-500000,0
Dec,1,Ascaron,Deep Silver,0,0,1177,495,69,100,500000-1000000,10.99
Jan,1,Sven Co-op Team,Sven Co-op Team,18,0,12211,1173,407,56,2000000-5000000,0
Oct,1,Codemasters,Codemasters,0,49,1113,317,1508,1508,100000-200000,19.99
Aug,1,Spark Unlimited,Capcom,0,50,1597,1002,155,155,200000-500000,19.99
Mar,1,"Radial Games Corp;Dejobaan Games, LLC",Radial Games Corp,0,14,827,247,180,207,200000-500000,6.99
May,1,"HeR Interactive, Inc.",HeR Interactive,0,12,58,4,1642,1642,0-20000,15.49
Mar,1,Triumph Studios,Paradox Interactive,0,74,4479,1132,984,861,500000-1000000,22.99
May,1,Stardock Entertainment,Stardock Entertainment,0,98,6051,1891,199,264,500000-1000000,23.79
Sep,1,Zachtronics,Zachtronics,0,1,381,170,142,142,50000-100000,10.99
Dec,1,Wormwood Studios,Wadjet Eye Games,0,29,1863,49,234,394,100000-200000,6.99
Apr,1,Minority Media Inc.,Minority Media,0,10,2405,160,158,158,200000-500000,10.99
Feb,1,Rebellion,Rebellion,0,26,3204,446,365,450,200000-500000,10.99
Nov,1,Badland Studio,Badland Studio,0,0,298,1138,33,33,100000-200000,14.99
Dec,1,Tiger Style,Tiger Style,0,17,919,113,229,229,200000-500000,6.99
Apr,1,Artifice Studio,Artifice Studio,0,33,1480,209,203,305,200000-500000,0
Oct,1,SCS Software,SCS Software,0,67,176769,5825,4942,1413,5000000-10000000,14.99
Apr,1,Tragnarion Studios,Bitbox S.L.,16,43,321,166,289,381,100000-200000,5.59
Jan,1,EightyEightGames,EightyEightGames,0,14,1573,187,333,414,100000-200000,3.99
Sep,1,SEGA Studios Australia;Feral Interactive (Mac),SEGA;Feral Interactive (Mac),0,12,1329,151,147,147,100000-200000,9.99
Apr,1,Croteam;Alligator Pit,Devolver Digital,0,39,1339,165,27,34,100000-200000,7.99
Jan,1,Cadenza Interactive,Cadenza Interactive,0,14,120,44,105,105,20000-50000,7.19
Aug,1,Sauropod Studio,Sauropod Studio,0,12,2711,2361,272,272,200000-500000,18.99
Jun,1,"Sperasoft, Inc.",PopCap,0,0,78,113,16,16,20000-50000,6.99
Oct,1,RETO MOTO,RETO MOTO,0,0,65856,34416,1752,76,10000000-20000000,0
Sep,1,Relic Entertainment,SEGA,0,0,2526,287,1475,465,500000-1000000,0
May,1,Stardock Entertainment,Stardock Entertainment,0,54,1265,495,1610,2874,200000-500000,19.49
Jan,1,Beamdog,Beamdog,0,129,4148,688,569,703,500000-1000000,14.99
Jun,1,DONTNOD Entertainment,Capcom,16,50,9080,1815,276,238,500000-1000000,22.99
Apr,1,Double Fine Productions;Shiny Shoe,Double Fine Productions,0,40,1162,91,15,28,100000-200000,10.99
Jun,1,Bugbear,THQ Nordic,0,0,8834,2486,778,1135,500000-1000000,38.99
Apr,1,3 Sprockets,3 Sprockets,0,59,148,65,440,440,100000-200000,5.59
Feb,1,Nadeo,Ubisoft,0,0,1065,259,3793,5675,100000-200000,16.99
Jul,1,17-BIT,17-BIT,0,27,498,56,329,411,100000-200000,7.19
Mar,1,Cube Roots,Devolver Digital,0,17,319,178,200,204,50000-100000,1.99
Jul,1,HyperSloth,HyperSloth,0,29,549,382,58,58,50000-100000,5.99
Sep,1,FarmerGnome,Devolver Digital,0,14,284,136,267,444,100000-200000,9.99
Apr,1,Nadeo,Ubisoft,0,0,648,101,507,507,50000-100000,16.99
Mar,1,Going Loud Studios,Going Loud Studios,0,22,5434,718,126,139,200000-500000,1.99
Oct,1,Iron Tower Studio,Iron Tower Studio,0,109,1719,373,297,297,100000-200000,11.39
Apr,1,Brightrock Games,Brightrock Games,0,141,3948,753,471,581,200000-500000,22.99
Aug,1,Metanet Software Inc.,Metanet Software Inc.,0,33,1600,83,494,494,100000-200000,10.99
Aug,1,Giant Army,Giant Army,0,0,5918,377,120,150,200000-500000,19.49
Mar,1,Digital Extremes,Digital Extremes,16,187,226541,20268,5845,394,20000000-50000000,0
Apr,1,NIGORO,AGM PLAYISM,0,64,1447,333,583,875,200000-500000,10.99
May,1,Daedalic Entertainment,Daedalic Entertainment,0,17,1700,179,96,112,200000-500000,16.99
Apr,1,Zombie Studios,Zombie Studios,16,16,760,767,184,184,50000-100000,6.99
Apr,1,Droqen,Droqen's Games,0,0,256,192,62,62,200000-500000,4.49
Jun,1,Eko Software,Eko Software,0,10,63,27,217,217,20000-50000,6.99
Aug,1,Threaks,Threaks,0,15,814,236,99,101,200000-500000,6.99
Feb,1,Focus Home Interactive,Focus Home Interactive,0,0,771,584,19,28,200000-500000,7.49
May,1,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,0,10,5699,242,129,184,500000-1000000,11.99
Sep,1,Santa Ragione,Santa Ragione,0,10,278,178,252,252,50000-100000,10.99
Jun,1,Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),18,452,32548,12038,1846,277,2000000-5000000,14.99
Oct,1,Lucky Frame,Lucky Frame,0,13,123,237,339,339,50000-100000,3.99
Jun,1,Behold Studios,Paradox Interactive,0,42,2268,417,709,1175,200000-500000,7.99
Mar,1,SCS Software,SCS Software,0,0,3772,973,315,426,1000000-2000000,3.99
Apr,1,Snowbird Games,Snowbird Games,0,56,1365,679,272,273,1000000-2000000,14.99
Nov,1,Tripwire Interactive,Tripwire Interactive,18,257,60917,8354,2967,957,2000000-5000000,19.99
Aug,1,Fullbright,Fullbright,0,10,11893,3651,90,129,500000-1000000,10.99
Apr,1,Spiders,Focus Home Interactive,0,14,1403,525,346,346,200000-500000,11.99
Mar,1,Running With Scissors,Running With Scissors,18,27,2319,502,137,180,200000-500000,1.49
Jan,1,Double Fine Productions,Double Fine Productions,0,45,5312,1063,271,271,500000-1000000,11.39
Sep,1,FireFly Studios,FireFly Studios,0,81,4280,2786,259,233,500000-1000000,24.99
Jun,1,Nadeo,Ubisoft,0,0,2915,571,6516,9562,500000-1000000,8.59
Mar,1,Halycon Media GmbH & Co. KG,THQ Nordic,0,13,333,338,2,2,100000-200000,15.99
Sep,1,Flying Wild Hog,Devolver Digital,18,92,18716,1426,319,227,2000000-5000000,29.99
Mar,1,Vlambeer,Devolver Digital,0,12,3180,302,260,347,200000-500000,6.99
Nov,1,Mighty Rocket Studio,Focus Home Interactive,0,32,761,143,196,196,100000-200000,6.99
May,1,Ubisoft Montreal,Ubisoft,0,0,9282,1257,249,201,1000000-2000000,12.49
Jun,1,Airtight Games,Square Enix,16,48,8658,1647,282,343,500000-1000000,19.99
Oct,1,Spiderweb Software,Spiderweb Software,0,30,111,22,4,4,50000-100000,6.99
Feb,1,Climax Studios,Climax Group,0,0,413,70,217,217,100000-200000,4.99
Oct,1,Introversion Software,Paradox Interactive,0,18,31687,2286,1472,717,2000000-5000000,23.79
Apr,1,Shiro Games,Shiro Games,0,29,4437,906,237,283,200000-500000,6.99
Jul,1,Boss Baddie,Boss Baddie,0,10,103,52,82,82,20000-50000,0
Apr,1,Eric Chahi;DotEmu,The Digital Lounge,0,13,1167,234,102,102,100000-200000,6.99
Sep,1,Refract,Refract,0,31,3989,279,887,1307,100000-200000,19.49
